Título,Estrelas,Comentarios
Perfeito,5,"Restaurante muito perfeito!!! Preço justo, bem servido e comida maravilhosa.  Chegamos logo no horário que abriu e estava vazio, conseguimos escolher mesa e tudo, quando saímos deviam ter umas 30 pessoas aguardando para entrar. O camarão internacional comem 3 pessoas"
Sabor impecável,5,"O restaurante é excelente, ambiente lindo, limpo e agradável. Os pratos são muito saborosos, bem servidos e com custo benefício excelente. Na primeira visita comemos o Ceviche de peixe e camarão delicioso e a Lagosta Ponta Negra que estava perfeita. No segundo dia comemos novamente o Ceviche (vale a pena) e o Camarão 294, entradinha super bem servida."
Ótimo restaurante para ter experiências.,5,Excelente lugar para novas experiências com camarões e pratos de carne. Atendimento muito rápido e atencioso! Voltarei mais vezes.
Restaurante perfeito!,5,"Esse restaurante é o melhor de todos que já fui, custo beneficio ok, e comida surreais de gostosas. A sobremesa naked de ninho ganhou meu coração, já fui 4 vezes e voltaria mais umas mil."
familia em férias,4,"restaurante muito movimentado, com muitas comemorações. Pratos fartos e gostosos. Bom preço. Staff atencioso e simpático."
O MELHOR RESTAURANTE DE FRUTOS DO MAR,5,"Pela décima primeira vez que vou a Natal, provavelmente é a centésima vez que frequento o restaurante e continua com a mesma excelência ! Funcionários atenciosos, comida extremamente saborosa, preço mais do que justo ! Estão de parabéns!"
Comida deliciosa..caipirinha não recomendo,4,"O restaurante é muito bem recomendado e a comida estava deliciosa (pedimos lagosta e camarões), entretanto a caipirinha tropical estava impossível de beber, estando muito grossa. Reclamamos ao garçom que levou para baterem novamente. Continuou com o mesmo problema. Pedimos para cancelar e não nos foi cobrado nem houve objeções. Ótimo atendimento."
Camarões,5,"Comida deliciosa, atendimento desde a recepção até os garçons muito educados, sem contar que o ambiente é muito aconchegante! Minha nota para o camarões é 10"
Comida excelente,5,Comida e sobremesa deliciosas que eu saboriei na viagem em natal! Meu prato preferido foi o Seridó. Venham para o Rio de Janeiro 🙏🏻
Camarão é muito bom,5,"Ótimo ambiente pastel de camarão de primeira categoria, pedimos um Prato camarão internacional e um suco de cajá que é de beber de joelho !!! Um ambiente sensacional com pessoas bonitas, porém muito cheio , até para estacionar está difícil"
Comida maravilhosa,5,"Restaurante maravilhoso, comemorei meu aniversário lá em viagem e ainda ganhei bolo e parabéns. Garçons excelentes, simpáticos, ainda ofereceram cobertinha, pois estávamos embaixo do ar condicionado. Comida maravilhosa, camarão fresco, excelente custo benefício"
UM RESTAURANTE EXCEPCIONAL!,5,Minha nota não poderia ser outra que não fosse 5*! Além da ótima comida e atendimento. Por erro nosso não vimos que o prato vinha com queijo ( minha esposa não come). E na hora de nós servir o Sr.  Antônio Elias viu que minha esposa não comeria os camarões com queijo e sem titubear nos trouxe uma porção sem queijo ! Não eh normal isso acontecer ! Agradeço aos restaurante pela atenção e ajuda nesta situação! Por isso somos fiéis ao melhor restaurante de Natal !
Merece por conta da tradição,4,"O restaurante camarões é uma preciosidade em Natal , todo turista que passa pro la tem que conhecer o mesmo. Já estive em Natal varias vezes e fui ao mesmo ""marcar o Ponto"" como se diz no popular. Nessa ultima vez pedimos dois tipos de camarões e nao gostei tanto como no passado, os pratos levam muito creme de leite o que tira um pouco do sabor do camarão. Para quem vem do Sul do pais agrada bastante , seja pelo preço, quantidade e sabor. Evite pedir pratos com creme de leite."
Melhor escolha em Ponta Negra,5,"Excelente restaurante de frutos do mar, ambiente agradabilissimo e um atendimento de primeiro mundo, acredito ser patrimonio da cidade, precos justissimos pelo que oferece."
Comida muito boa,5,"Local muito bonito, com uma comida saborosa e um atendimento muito atencioso, vale a pena conhecer. Comemos o prato ponta de mangue muito saboroso e com excelente custo benefício."
Perfeição existe!,5,"Restaurante impecável: ambiente, atendimento, comida saborosa e farta. Os pratos para dois servem tranquilamente 3 pessoas ou até 4. Tudo delicioso. A conta para 2 deu 211, sendo que pedimos 1 entrada, 1 prata para 2, 1 caipirinha e 1 suco. Não é um valor barato, mas é bem justo com o que oferecem."
Almoço com família e amigos,4,"Comida de qualidade. Atendimento da equipe muito bom. Rapidez no atendimento. Fomos no horário do almoço. Camarões no gerimum (moranga) muito bom e farto. Éramos em 7 , então pedimos pratos diferentes. Filé à parmegiana pedimos que não fosse servido sobre fetuccine, que é muito comun lá em Natal. Pedimos com arroz. Foi melhor. O ponto negativo foi para tilapia com risoto. Mal deu pra 2 pessoas. Foi o prato mais mal servido em termos de quantidade, embora o sabor foi muito bom.  Sobremesa muito boa também. Não fosse por isso, eu daria 5."
Vale muito,5,"Bons pratos, uma variedade de preparo com camarões. Os camarões são deliciosos, as opções do buffet são bem variadas e os sucos são muito bons."
Experiência espetacular.,5,"Ambiente super agradável. Atendimento de primeira, comida espetacular. Foi a melhor experiência gastronomia que eu tive."
