Coments_norm,Polaridade,Estrelas,Classificacao_estrelas
perfect restaurant fair price well served wonderful food arrived straight away opened empty able choose table everything left must 30 people waiting enter international shrimp 3 people eat,positivo,5,positivo
excellent restaurant beautiful environment clean pleasant dishes tasty well served value money excellent first visit ate ceviche fish shrimp delicious lobster black tip perfect second day ate ceviche worth shrimp 294 starter super well served,positivo,5,positivo
excellent place new experiences shrimp dishes meat fast attentive service come back often,positivo,5,positivo
best restaurant ever cost benefit ok surreal food delicious dessert naked nest heart already 4 times would go back thousand,positivo,5,positivo
busy restaurant lots celebrations delicious delicious dishes good price attentive friendly staff,positivo,4,positivo
eleventh time going christmas probably hundredth time go restaurant still excellence attentive staff extremely tasty food fair price congratulations,positivo,5,positivo
well recommended restaurant delicious food ordered lobster shrimp however tropical caipirinha impossible drink thick complained waiter got knocked problem continued asked cancel charges objections great service,negativo,4,positivo
delicious food service polite waiters reception cozy atmosphere rating camaroes 10,positivo,5,positivo
food dessert delicious tasted travel christmas favorite dish served come rio janeiro,positivo,5,positivo
great atmosphere pastel shrimp first category ordered international shrimp dish caja juice drink knee sensational environment beautiful people crowded parking difficult,neutro,5,positivo
wonderful restaurant celebrated birthday trip even got cake congratulations excellent friendly waiters even offered cover air conditioning wonderful food fresh shrimp excellent value money,positivo,5,positivo
rating 5 besides great food service error see dish came cheese wife eat time serve sir antonio elias saw wife eat prawns cheese titubear brought portion cheese normal happen thank restaurant attention help situation faithful best restaurant christmas,positivo,5,positivo
restaurant shrimps precious christmas tourist comes see christmas several times make point says popular last time ordered two types shrimps like last dishes milk cream take little flavor shrimp come south country pleases lot price quantity flavor avoid ordering cream milk dishes,neutro,4,positivo
excellent restaurant seafood pleasant atmosphere first world service believe heritage city fair prices offers,positivo,5,positivo
beautiful place tasty food attentive service worth visiting ate tasty mangrove tip dish excellent value money,positivo,5,positivo
impeccable restaurant ambiance service tasty food plenty dishes two serve 3 people 4 everything delicious bill 2 211 ordered 1 starter 1 silver 2 1 caipirinha 1 juice cheap value fair offer,positivo,5,positivo
food quality service staff good speed service time lunch shrimp gerimum strawberry good plenty us 7 us ordered different dishes file parmigiana ordered served common fetuccine christmas ordered rice best negative point tilapia risotto barely enough 2 people dish poorly served terms quantity although good flavor good dessert give 5 either,neutro,4,positivo
good dishes variety preparation prawns prawns delicious buffet options varied juices good,positivo,5,positivo
super pleasant atmosphere service first spectacular food best gastronomic experience,positivo,5,positivo
unit restaurant everything really incredible ordered teriyaki gratin wonderful desserts cocada maria beautiful supreme pistachio also delicious service renato exquisite polite service friendly cleanliness bathrooms also excellent everything good taste even napkins quality visiting christmas let go,positivo,5,positivo
everything restaurant perfect reception culinary environment friendly attentive service,positivo,5,positivo
good morning excellent service wonderful food wonderful waiter satisfied visit fair price,positivo,5,positivo
impeccable place great service tasty food well served ate golden shrimp sauce pure rice simply explosion flavor starter ordered better pastry shrimp catupiry ate unmissable shrimp spectacular restaurant matter dish always well served fresh good size tasty christmas miss classic restaurant,positivo,5,positivo
incredible place pleasant atmosphere lots variety dishes super attentive staff polite bathroom changing table clean,positivo,5,positivo
make mistakes always excellent order tasty dishes good service pleasant atmosphere always full families negative point always waiting lot people waiting table worth,negativo,5,positivo
never go wrong food excellent service good quantity ingredients first time took get line waiting everything went well,positivo,5,positivo
